transaction_date,description,amount,vendor,department,gl_code
2024-11-29,Developer tools subscription – Adobe Creative Cloud,11924.0,Adobe Creative Cloud,Executive,5400
2024-05-25,Hotel accommodation – United Airlines business trip,1666.46,United Airlines,Finance,5200
2024-06-30,Tax preparation – Ernst & Young engagement,27407.02,Ernst & Young,Operations,5500
2024-12-20,Accounting & audit services – KPMG,12227.3,KPMG,IT,5500
2024-07-19,Google Ads campaign – Operations budget Q3,4580.61,Mailchimp,Operations,5800
2024-02-13,Software renewal – Adobe Creative Cloud platform,4072.3,Adobe Creative Cloud,HR,5400
2024-09-28,Point of sale transaction – store #7780,5883.16,Walmart,Sales,4100
2024-03-30,AP entry – Staples supplies,7480.66,Staples,Finance,2100
2024-11-01,Consulting engagement – McKinsey project,19978.61,McKinsey,Sales,4200
2024-07-28,Consulting engagement – Boston Consulting project,83058.39,Boston Consulting,Sales,4200
2024-09-24,Vehicle depreciation – fleet #5357,5681.25,Internal,HR,6200
2024-11-20,Annual license – Slack enterprise plan,369.05,Slack,Legal,5400
2024-12-07,Depreciation – computer hardware Q3,2829.8,Internal,Engineering,6200
2024-12-30,Breakroom supplies from W.B. Mason,2088.26,W.B. Mason,Sales,5100
2024-10-27,Monthly payroll – Engineering department,102026.85,ADP Payroll,Engineering,5900
2024-05-05,Monthly depreciation – office equipment,9506.25,Internal,IT,6200
2024-04-21,Printer toner and paper – W.B. Mason,1976.91,W.B. Mason,Finance,5100
2024-02-15,Stationery order #4666 from Amazon Business,1150.01,Amazon Business,Sales,5100
2024-12-24,Social media advertising – Meta Ads,7929.88,Meta Ads,Executive,5800
2024-07-01,Dividend declaration – Q4 distribution,63513.28,Internal,HR,3100
2024-04-22,Property insurance renewal – Allianz,6680.35,Allianz,Marketing,6100
2024-10-26,Referral bonus payout – partner Channel Partners,20800.4,Channel Partners,HR,5600
2024-12-13,Office supplies purchase from Office Depot,582.4,Office Depot,Marketing,5100
2024-08-09,Accounting & audit services – BDO,44450.72,BDO,HR,5500
2024-11-11,Warehouse lease payment – Regus,18012.4,Regus,Operations,5700
2024-08-10,Depreciation – computer hardware Q3,1457.95,Internal,HR,6200
2024-08-03,Internet service – ConEdison fiber plan,262.93,ConEdison,Engineering,5300
2024-12-26,Parking facility lease – JLL,23195.99,JLL,Operations,5700
2024-06-11,Monthly office rent – Regus building,6112.7,Regus,Marketing,5700
2024-09-29,Cyber liability insurance – State Farm,5991.08,State Farm,Sales,6100
2024-04-24,Online sales revenue – batch #9441,120094.52,Walmart,Executive,4100
